district_name,community_council_name
Berea,Kanana Community Council
Berea,Kubake Community Council
Berea,Kueneng Community Council
Berea,Makeoane Community Council
Berea,Maseru Urban Council
Berea,Motanasela Community Council
Berea,Phuthiatsana Community Council
Berea,Senekane Community Council
Berea,Tebe-tebe Community Council
Berea,Teyateyaneng Urban Council
Maseru,Kubake Community Council
Maseru,Likolobeng Community Council
Maseru,Lilala Community Council
Maseru,Makhoalipana Community Council
Maseru,Makhoarane Community Council
Maseru,Manonyane Community Council
Maseru,Maseru Urban Council
Maseru,Mazenod Community Council
Maseru,Mohlakeng Community Council
Maseru,Qiloane Community Council
Maseru,Ratau Community Council
Maseru,Senekane Community Council
Thaba-Tseka,Bokong Community Council
Thaba-Tseka,Linakeng Community Council
Thaba-Tseka,Litsoetsoe Community Council
Thaba-Tseka,Tenesolo Community Council
Thaba-Tseka,Thaba-Tseka Urban Community Council
