district_name,village_name
Berea,Baking
Berea,Bela Bela
Berea,Berea
Berea,Berea Hills
Berea,Berea Mission
Berea,Cana
Berea,Ha -Bua-Sono
Berea,Ha Hlajoane lithakong
Berea,Ha Mabote
Berea,Ha Makebe
Berea,Ha Matjotjo
Berea,Ha Mokhathi
Berea,Ha Mosethe
Berea,Ha Mphele
Berea,Ha Ralimo
Berea,Ha Ramothamo
Berea,Ha Ratsiu
Berea,Ha malei
Berea,Haphoofolo
Berea,Jorotane
Berea,Khubetsoana
Berea,Koalabata
Berea,Kolojane ha lestsoela
Berea,Lecoop
Berea,Lekokoaneng
Berea,Lekokoaneng ha fusi
Berea,Makola
Berea,Mineworkers
Berea,Mokhethoaneng
Berea,Palace
Berea,Sefikaneng
Berea,Sehlabeng
Berea,Sehlabeng pela sekolo sa machina
Berea,Sekamaneng
Berea,Seqonoka
Berea,Thuathe ha ralimo
Berea,Thupa Kubu
Berea,sehlabeng
Maseru,Boinyatso
Maseru,Bosofo
Maseru,Ha Abia
Maseru,Ha Foto mokema
Maseru,Ha Leqele
Maseru,Ha Majara
Maseru,Ha Makhaothi
Maseru,Ha Makhoathi
Maseru,Ha Motemekoane
Maseru,Ha Motloheloa
Maseru,Ha Nelese
Maseru,Ha Ntsi
Maseru,Ha Paki
Maseru,Ha Phaloane
Maseru,Ha Phohleli
Maseru,Ha Teko
Maseru,Ha Tlhakanelo
Maseru,Ha- Mosalla
Maseru,Ha- Ntsi
Maseru,Ha-Lenono
Maseru,Ha-Liile
Maseru,Ha-Mafefooane
Maseru,Ha-Maja
Maseru,Ha-Makhale
Maseru,Ha-Mants'ebo
Maseru,Ha-Mantsebo
Maseru,"Ha-Mantsebo, Temaneng"
Maseru,Ha-Masana
Maseru,Ha-Mofoka
Maseru,Ha-Mohasoa
Maseru,Ha-Mohoasoa
Maseru,Ha-Moima
Maseru,Ha-Moitsupeli
Maseru,Ha-Molengoana
Maseru,Ha-Mosalla
Maseru,Ha-Motanyane
Maseru,Ha-Motlohela
Maseru,Ha-Motloheloa
Maseru,Ha-Mpesi
Maseru,Ha-Nqheku
Maseru,Ha-Ratau
Maseru,Ha-Takalimane
Maseru,Ha-Teko
Maseru,Ha-Tsunyane
Maseru,Ha-lenono
Maseru,Ha-ntsi
Maseru,Haleutsoa
Maseru,Hamofoka
Maseru,Haramorakane
Maseru,Hasofonea
Maseru,"Jorotane, Ha Nyakane"
Maseru,Koro-Koro
Maseru,Lithabaneng
Maseru,Lower Thamae
Maseru,Machekoaneng
Maseru,Mafikaneng
Maseru,Mahloenyeng
Maseru,Makhalayane
Maseru,Makhoathi
Maseru,Masekoeng
Maseru,Masite Ha Rasekoai
Maseru,Masowe
Maseru,Matsieng
Maseru,Matukeng
Maseru,Mazenod
Maseru,Metolong
Maseru,Metolong Ha-Makotoko
Maseru,Metolong-Rahachele
Maseru,Moeaneng
Maseru,Mohlaka oa tuka
Maseru,Mokema
Maseru,Mookoli
Maseru,Morija
Maseru,Nazareth
Maseru,Nazereth ha mosiu
Maseru,Nyakosoba
Maseru,Phahameng
Maseru,Roma
Maseru,Rothe Ha Malebo
Maseru,Sehlabeng
Maseru,"Semokong, Ha Samuel"
Maseru,Setibing
Maseru,Setleketseng
Maseru,St- Michael
Maseru,Thaba Chitja
Maseru,Thaba-Bosiu
Maseru,Thaba-Khupa
Maseru,Thaba-bosiu
Maseru,lehlakaneng
Thaba-Tseka,Ha Khoanyane
Thaba-Tseka,Ha Muso
Thaba-Tseka,Ha Nakeli
Thaba-Tseka,Ha Ramalapi
Thaba-Tseka,Ha Rantsimane
Thaba-Tseka,Ha Shoaepane
Thaba-Tseka,Ha Toka
Thaba-Tseka,Linokong
Thaba-Tseka,Liphokoaneng
Thaba-Tseka,Malihase
Thaba-Tseka,Mohlanapeng
Thaba-Tseka,Phomolong
Thaba-Tseka,Thabong1
